CourseID,InstrID,Year,Required,Eval,Apct,Enrollment
1453,33,201213,0,4.5999999,.75999999,17
893,34,200304,1,3.1400001,.28999999,146
893,34,200304,1,4.2199998,.52999997,115
1344,34,200304,0,3.9000001,.60000002,10
38,34,200304,0,3.3099999,.75999999,17
893,34,200405,1,4.02,.5,50
893,34,200405,1,3.8399999,.80000001,140
1614,34,200405,0,4,.63,8
893,34,200607,1,4.4899998,.51999998,135
893,34,200607,1,4.4299998,.55000001,104
1614,34,200607,0,4.0700002,.80000001,15
38,34,200607,0,4,1,20
893,34,200708,1,4.4000001,,143
1651,34,200708,0,5,,7
1289,34,200809,0,4.77,.87,15
1651,34,200809,0,4.5799999,.41999999,13
1654,34,200809,0,5,.88,8
38,34,200809,0,4.3099999,,17
1244,35,200607,0,,1,1
1396,35,200607,1,4.1799998,.5,14
1414,35,200607,0,4.6300001,.88,8
1297,35,200708,0,4.1300001,,9
1590,35,200708,1,3.3699999,,20
1591,35,200708,1,4.1900001,,21
1617,35,200708,0,3.9100001,,11
1120,35,201011,0,4.6700001,.46000001,24
1388,35,201011,1,4.5500002,.92000002,13
1516,35,201011,0,4.4499998,.91000003,11
1590,35,201011,1,4.5700002,.81,16
1120,35,201112,0,4.6599998,.55000001,44
1516,35,201112,0,5,1,3
895,35,201213,1,4.9099998,.51999998,100
1120,35,201213,0,4.5,.54000002,50
1590,35,201213,1,4.25,.73000002,11
1591,35,201213,1,4.9099998,.82999998,12
1119,36,200405,0,4.4200001,.41999999,48
1412,36,200405,0,4.8000002,.5,6
1119,36,200607,0,4.6799998,.51999998,25
1412,36,200607,0,4.25,.88,8
1118,36,200708,0,4.5300002,,48
1119,36,200708,0,4.5900002,,49
1262,36,200708,0,4.4099998,,20
1614,36,200708,0,4.3299999,,9
1118,36,200809,0,4.5500002,.62,45
1119,36,200809,0,4.73,.63,46
1262,36,200809,0,4.5999999,.86000001,15
1511,36,200809,0,4.1999998,0,6
1118,36,200910,0,4.3000002,.46000001,46
1614,36,200910,0,4.75,.88,8
1118,36,201011,0,4.73,.36000001,44
1119,36,201011,0,4.4499998,.41,44
1262,36,201011,0,4,.81,16
1355,36,201011,0,5,1,5
1119,36,201112,0,4.3800001,.44,45
1124,36,201112,0,4.3600001,.69,36
1118,36,201213,0,4.6300001,.38999999,38
1119,36,201213,0,4.4499998,.41999999,43
1128,36,201213,0,4.6300001,.81999999,11
1,36,201213,0,4.4000001,.69999999,10
895,37,200304,1,3.3800001,.51999998,66
1409,37,200304,0,4.5599999,1,9
52,37,200304,0,4.5900002,.82999998,18
895,37,200405,1,4.46,.74000001,77
1409,37,200405,0,4.6700001,.82999998,6
51,37,200405,0,4.8899999,.80000001,20
52,37,200405,0,4.9299998,.63,16
54,37,200405,0,4.4099998,.67000002,18
1004,38,200304,1,4.6300001,.69999999,100
1004,38,200304,1,4.8200002,.75999999,96
1324,38,200304,0,4.9699998,.80000001,49
1385,38,200304,0,4.8699999,.74000001,50
1004,38,200405,1,4.8400002,.67000002,95
1343,38,200405,0,4.9699998,.75999999,76
